[2023-06-21T15:38:24.789] [FATAL] GET - Remote: undefined, path: /api/user/export
[2023-06-21T15:38:33.076] [FATAL] POST - Remote: undefined, path: /api/user/export
[2023-06-21T15:40:44.083] [FATAL] POST - Remote: undefined, path: /api/user/export
[2023-06-21T15:42:57.744] [FATAL] GET - Remote: undefined, path: /apis/
[2023-06-21T15:42:57.778] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
[2023-06-21T15:42:57.781] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-06-21T15:42:57.790] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-06-21T15:42:57.796] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
[2023-06-21T15:42:58.305] [FATAL] GET - Remote: undefined, path: /apis/favicon-32x32.png
[2023-06-21T15:43:18.063] [FATAL] GET - Remote: undefined, path: /apis/
[2023-06-21T15:43:18.129] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
[2023-06-21T15:43:18.132] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-06-21T15:43:18.138] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-06-21T15:43:18.140] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
[2023-06-21T15:43:18.519] [FATAL] GET - Remote: undefined, path: /apis/favicon-32x32.png
[2023-06-21T15:43:22.707] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-21T15:47:19.845] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-21T15:50:06.055] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-21T15:52:48.830] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-21T15:57:56.288] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-21T15:59:36.832] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-21T15:59:47.658] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
